code_commune_INSEE,nom_commune_postal,code_postal,libelle_acheminement,ligne_5,latitude,longitude,code_commune,article,nom_commune,nom_commune_complet,code_departement,nom_departement,code_region,nom_region
1005,AMBERIEUX EN DOMBES,1330,AMBERIEUX EN DOMBES,,45.9961799872,4.91227250796,5,,Ambérieux-en-Dombes,Ambérieux-en-Dombes,1,Ain,84,Auvergne-Rhône-Alpes
22001,ALLINEUC,22460,ALLINEUC,,48.3113091496,-2.86736098744,1,,Allineuc,Allineuc,22,Côtes-d'Armor,53,Bretagne
22002,ANDEL,22400,ANDEL,,48.4944929623,-2.55104146851,2,,Andel,Andel,22,Côtes-d'Armor,53,Bretagne
22003,AUCALEUC,22100,AUCALEUC,,48.4513138492,-2.12726351859,3,,Aucaleuc,Aucaleuc,22,Côtes-d'Armor,53,Bretagne
22004,BEGARD,22140,BEGARD,,48.6345594689,-3.29153247621,4,,Bégard,Bégard,22,Côtes-d'Armor,53,Bretagne
22004,BEGARD,22140,BEGARD,BOTLEZAN,48.6345594689,-3.29153247621,4,,Bégard,Bégard,22,Côtes-d'Armor,53,Bretagne
22004,BEGARD,22140,BEGARD,GUENEZAN,48.6345594689,-3.29153247621,4,,Bégard,Bégard,22,Côtes-d'Armor,53,Bretagne
22004,BEGARD,22140,BEGARD,TREZELAN,48.6345594689,-3.29153247621,4,,Bégard,Bégard,22,Côtes-d'Armor,53,Bretagne
22005,BELLE ISLE EN TERRE,22810,BELLE ISLE EN TERRE,,48.5310285208,-3.38188859591,5,,Belle-Isle-en-Terre,Belle-Isle-en-Terre,22,Côtes-d'Armor,53,Bretagne
22005,BELLE ISLE EN TERRE,22810,BELLE ISLE EN TERRE,LOCMARIA,48.5310285208,-3.38188859591,5,,Belle-Isle-en-Terre,Belle-Isle-en-Terre,22,Côtes-d'Armor,53,Bretagne
22006,BERHET,22140,BERHET,,48.6978080873,-3.30901645688,6,,Berhet,Berhet,22,Côtes-d'Armor,53,Bretagne
22008,BOBITAL,22100,BOBITAL,,48.4144897659,-2.09704568121,8,,Bobital,Bobital,22,Côtes-d'Armor,53,Bretagne
22009,LE BODEO,22320,LE BODEO,,48.3263875308,-2.92155269412,9,Le,Bodéo,Le Bodéo,22,Côtes-d'Armor,53,Bretagne
22011,BOQUEHO,22170,BOQUEHO,,48.4679009136,-2.98514567915,11,,Boqueho,Boqueho,22,Côtes-d'Armor,53,Bretagne
22012,LA BOUILLIE,22240,LA BOUILLIE,,48.583703743,-2.44206037787,12,La,Bouillie,La Bouillie,22,Côtes-d'Armor,53,Bretagne
22013,BOURBRIAC,22390,BOURBRIAC,,48.465978498,-3.19983137965,13,,Bourbriac,Bourbriac,22,Côtes-d'Armor,53,Bretagne
22014,BOURSEUL,22130,BOURSEUL,,48.4671372478,-2.26507368746,14,,Bourseul,Bourseul,22,Côtes-d'Armor,53,Bretagne
22015,BREHAND,22510,BREHAND,,48.393898689,-2.58915945139,15,,Bréhand,Bréhand,22,Côtes-d'Armor,53,Bretagne
22016,ILE DE BREHAT,22870,ILE DE BREHAT,,48.851165388,-3.00126760584,16,,Île-de-Bréhat,Île-de-Bréhat,22,Côtes-d'Armor,53,Bretagne
22018,BRELIDY,22140,BRELIDY,,48.6489532985,-3.22763480343,18,,Brélidy,Brélidy,22,Côtes-d'Armor,53,Bretagne
22019,BRINGOLO,22170,BRINGOLO,,48.5771136363,-3.00615550724,19,,Bringolo,Bringolo,22,Côtes-d'Armor,53,Bretagne
22020,BROONS,22250,BROONS,,48.3108134882,-2.24133807266,20,,Broons,Broons,22,Côtes-d'Armor,53,Bretagne
